referee,matches_played,yellow_cards_per_match,red_cards_per_match,fouls_per_match
Omar Al Ali,18,4.0,0.15,24.0
Abdulrahman Al-Jassim,25,4.0,0.15,24.5
Khalid Al-Turais,16,3.8,0.12,23.5
Alireza Faghani,40,4.2,0.18,25.0
Ma Ning,34,4.6,0.25,26.0
Adham Makhadmeh,22,4.1,0.20,25.2
Ilgiz Tantashev,20,3.9,0.14,23.8
Yusuke Araki,20,3.8,0.10,23.0
Omar Abdulkadir Artan,15,4.2,0.18,26.0
Pierre Atcho,18,4.5,0.22,27.2
Dahane Beida,24,4.1,0.16,25.0
Mustapha Ghorbal,26,3.8,0.15,25.2
Jalal Jayed,14,4.0,0.12,24.5
Amin Mohamed Omar,22,4.3,0.18,25.8
Abongile Tom,16,4.4,0.20,26.4
Iván Barton,28,4.6,0.20,26.5
Juan Gabriel Calderón,20,4.2,0.18,24.8
Ismail Elfath,30,4.0,0.12,24.0
Oshane Nation,15,4.1,0.15,23.9
Drew Fischer,22,3.6,0.10,22.5
Katia Itzel García,18,3.9,0.15,23.0
Saíd Martínez,26,4.3,0.18,24.6
Tori Penso,20,3.7,0.12,21.8
César Arturo Ramos,35,4.2,0.14,25.0
Ramon Abatti,22,4.6,0.24,26.8
Juan Gabriel Benítez,18,4.8,0.22,27.0
Raphael Claus,35,4.5,0.20,26.0
Yael Falcón,20,4.7,0.26,27.5
Cristián Garay,16,4.5,0.20,25.8
Darío Herrera,28,4.7,0.24,27.0
Kevin Ortega,24,4.4,0.20,25.5
Andrés Rojas,22,4.8,0.28,28.2
Wilton Sampaio,38,4.9,0.22,28.0
Gustavo Tejera,18,4.6,0.18,26.2
Facundo Tello,32,4.8,0.30,27.5
Jesús Valenzuela,30,5.1,0.25,29.5
Campbell-Kirk Kawana-Waugh,12,3.5,0.10,21.0
Espen Eskås,22,3.5,0.10,22.0
Alejandro Hernández Hernández,30,4.5,0.20,24.5
István Kovács,32,4.8,0.22,26.5
François Letexier,28,3.7,0.14,23.0
Danny Makkelie,35,3.5,0.12,22.4
Szymon Marciniak,45,4.1,0.12,24.5
Maurizio Mariani,24,4.0,0.15,23.8
Glenn Nyberg,26,3.6,0.12,22.8
Michael Oliver,38,3.4,0.08,21.5
João Pinheiro,22,4.2,0.16,24.0
Sandro Schärer,24,4.2,0.15,24.0
Anthony Taylor,40,3.8,0.10,22.0
Clément Turpin,42,3.6,0.20,23.8
Slavko Vinčić,32,3.9,0.10,23.5
Felix Zwayer,30,4.3,0.12,24.8
