team,market_value_euros,last_updated
England,1370000000,2026-06-01
France,1250000000,2026-06-01
Brazil,1040000000,2026-06-01
Portugal,980000000,2026-06-01
Spain,960000000,2026-06-01
Argentina,850000000,2026-06-01
Germany,820000000,2026-06-01
Italy,750000000,2026-06-01
Netherlands,700000000,2026-06-01
Belgium,550000000,2026-06-01
Uruguay,480000000,2026-06-01
Norway,450000000,2026-06-01
Denmark,380000000,2026-06-01
Morocco,350000000,2026-06-01
Turkey,350000000,2026-06-01
Nigeria,340000000,2026-06-01
Croatia,320000000,2026-06-01
Ivory Coast,320000000,2026-06-01
United States,310000000,2026-06-01
USA,310000000,2026-06-01
Ukraine,300000000,2026-06-01
Japan,290000000,2026-06-01
Colombia,280000000,2026-06-01
Senegal,280000000,2026-06-01
Switzerland,260000000,2026-06-01
Austria,240000000,2026-06-01
Serbia,230000000,2026-06-01
Mexico,220000000,2026-06-01
Ecuador,220000000,2026-06-01
Sweden,220000000,2026-06-01
Scotland,210000000,2026-06-01
Poland,200000000,2026-06-01
Czech Republic,190000000,2026-06-01
Algeria,180000000,2026-06-01
Canada,180000000,2026-06-01
South Korea,170000000,2026-06-01
Hungary,160000000,2026-06-01
Georgia,160000000,2026-06-01
Greece,150000000,2026-06-01
Slovakia,150000000,2026-06-01
Cameroon,150000000,2026-06-01
Slovenia,140000000,2026-06-01
Mali,140000000,2026-06-01
Paraguay,120000000,2026-06-01
Ghana,120000000,2026-06-01
Egypt,120000000,2026-06-01
DR Congo,110000000,2026-06-01
Wales,120000000,2026-06-01
Albania,110000000,2026-06-01
Romania,100000000,2026-06-01
Jamaica,95000000,2026-06-01
Guinea,80000000,2026-06-01
Chile,70000000,2026-06-01
Venezuela,65000000,2026-06-01
Angola,60000000,2026-06-01
Iran,50000000,2026-06-01
Tunisia,45000000,2026-06-01
Australia,40000000,2026-06-01
Gambia,40000000,2026-06-01
Peru,35000000,2026-06-01
Saudi Arabia,30000000,2026-06-01
Zambia,30000000,2026-06-01
Costa Rica,25000000,2026-06-01
South Africa,25000000,2026-06-01
Cape Verde,25000000,2026-06-01
New Zealand,20000000,2026-06-01
Panama,20000000,2026-06-01
Guinea-Bissau,20000000,2026-06-01
Qatar,20000000,2026-06-01
Bolivia,15000000,2026-06-01
Mauritania,15000000,2026-06-01
Equatorial Guinea,12000000,2026-06-01
Namibia,10000000,2026-06-01
Mozambique,10000000,2026-06-01
Tanzania,8000000,2026-06-01
